code_magasin;latitude;longitude
MF0206;45.66254357647896;5.909290181054634
MF0352;47.41130219492939;0.977594354179061
MF0298;47.45093010000001;-0.5485185
MF0351;47.47504180000001;-0.5674431
MF0299;47.472018;-0.5410986
MF0433;47.44318863105287;-0.48294963047651435
MF0393;45.90724390539838;6.108542354083498
MF0392;45.93786975734965;6.122417340592253
MF0391;45.9071197;6.1156561
MF0427;45.847550079407775;6.14659471175101
MF0413;47.45318902128925;5.589568997714271
MF0416;44.61654874901679;-1.076022101818509
MF0048;48.9086911;2.2848239
MF0423;43.30073904174837;5.596022504869814
MF0436;48.91289030334769;2.3834834542767025
MF0233;48.9292787;2.4925434
MF0435;47.67128023590155;-3.1826922581232506
MF0323;47.66871093975826;-3.005320517754668
MF0421;47.66948594186911;-2.9589591890768467
MF0418;47.63421304727905;6.821047396522143
MF0121;48.9070632;2.2617636
MF0460;44.8782456;-0.6811779
MF0409;48.83028150382865;2.2326441966000474
MF0158;48.837064547639564;2.2405786203243663
MF0161;48.78355087315593;2.315171627281798
MF0251;47.0913274;2.4221151
MF0140;47.080071;2.402263
MF0308;48.41071253120888;-4.521706743907018
MF0219;48.3909034;-4.5066934
MF0011;48.4026742;-4.4668991
MF0380;48.3788874550564;-4.6009894304159085
MF0307;48.405207642322736;-4.510960601778062
MF0110;48.38707099572367;-4.4716762611001695
MF0399;48.70046517219725;2.6006851556743773
MF0451;48.83768044294239;2.7099195553824194
MF0387;49.1735374;-0.3918326
MF0449;49.165374002618;-0.36631224735021545
MF0407;49.037392;2.0793441
MF0382;46.78454613400817;4.85545402715255
MF0248;48.8294559;2.4017728
MF0425;48.778796670509564;2.279456754267851
MF0341;49.1207749;2.4277187
MF0255;48.8757206;2.583231
MF0325;48.8039791;2.2661364
MF0358;48.947344;2.658832
MF0247;48.9003774;2.3061594
MF0211;48.9033792;2.3123959
MF0370;48.9229253;2.251747
MF0396;47.86471158786564;-3.887736628137749
MF0394;49.001073;2.0941011
MF0439;47.392447065586786;2.92234926952019
MF0023;48.8965971;2.2485928
MF0096;48.7798208;2.456736100000001
MF0384;47.3117264;5.0148904
MF0385;47.3289414;5.043398499999999
MF0390;47.324729308702096;5.038431503086449
MF0386;47.337563631672296;5.010838669516661
MF0167;48.454648988937755;-2.064246325562175
MF0414;47.087777176765066;5.485805354158295
MF0237;48.92574439719253;2.447035057670214
MF0440;48.970139;2.3086388
MF0305;48.9820436;2.2710036
MF0312;49.02874135297245;1.1512193696267248
MF0340;48.4128808625416;2.7105905592930033
MF0417;48.433731495452164;2.752635372610335
MF0345;49.278277253303365;1.777062254300797
MF0275;45.145682;5.705121999999999
MF0137;45.1477559;5.7243624
MF0168;45.188475;5.6851195
MF0162;45.1879476;5.718704
MF0342;45.21102940776448;5.787294226592781
MF0348;45.2319924;5.6797762
MF0260;45.186605;5.758507499999999
MF0461;45.24416242213162;5.827961297793873
MF0228;49.0046431;2.1920186
MF0271;48.8207426;2.2498184
MF0415;48.8198459;2.476772
MF0377;47.28573670000001;-2.3970426
MF0357;43.18392799999999;5.609560999999999
MF0331;48.9061902;2.2478575
MF0321;46.6711159;-1.4241101
MF0322;46.6651817;-1.4487578
MF0061;46.1684686;-1.132123
MF0244;48.9378857;2.4609901
MF0379;48.56912297852047;-4.33535097425185
MF0317;48.0010872;0.2106424
MF0388;47.9781844;0.2085182
MF0318;48.015331403565774;0.18611118680868827
MF0238;48.8494863;2.4984072
MF0438;48.849740430549964;2.498364281258928
MF0311;49.094891502114166;2.74590993709706
MF0141;48.8981823;2.1143306
MF0437;48.87989417568761;2.4169880264819246
MF0456;48.893898010253906;2.283397912979126
MF0455;48.89212417602539;2.2846431732177734
CF0013;49.211826867866186;1.1685246542963992
MF0194;45.7432145;4.8741328
MF0277;45.7583612;4.7756474
MF0259;45.7700571;4.8618447
MF0426;48.8062124;2.4405696
MF0361;48.9929383;1.7004291
MF0375;48.99110291186608;1.7186084542818578
MF0441;48.8375022;2.1564372
MF0276;43.338815;5.4737513
MF0241;43.30832652711836;5.43128045466057
MF0450;43.32451244619914;5.45217871331151
MF0198;43.2668984;5.3893935
MF0355;43.2518164;5.4213662
MF0367;48.7233248;2.2630027
MF0454;48.9588459;2.8828884
MF0364;48.8079209;2.2403139
MF0381;48.69898569999999;2.4692965
MF0403;43.6140702;3.8650927
MF0404;43.6177067;3.8969521
MF0346;48.86192699999999;2.4415159
MF0041;48.8179763;2.3250803
MF0112;46.5453426;3.3412666
MF0314;48.88661399999999;2.2003947
MF0453;48.894198830379445;2.196203482372037
MF0446;47.2352413;-1.5466525
MF0234;47.2135049;-1.5861718
MF0445;47.2332909;-1.566277
MF0448;47.2406787;-1.5928893
MF0447;47.1871067;-1.4777767
MF0060;46.9952701;3.1690519
MF0267;46.9945561;3.1232236
MF0316;48.83684694874064;2.4855682966004817
MF0270;47.901276;1.9015813
MF0402;48.8819577;2.3665207
MF0239;48.8505097;2.392039
MF0434;48.84736301712654;2.37515456961476
MF0359;48.83323009999999;2.3620791
MF0100;48.8316496;2.3141461
MF0256;48.8349211;2.3326722
MF0383;48.84975653756429;2.3014151971770285
MF0272;48.836720038260495;2.300804984209432
MF0313;48.84276772276455;2.2822118760062593
MF0374;48.860072;2.2798119
MF0349;48.868688;2.2917399
MF0250;48.8810588;2.284931100000001
MF0401;48.8791921;2.3784154
MF0253;48.8676091;2.3467925
MF0014;48.8652205;2.3980451
MF0405;48.8495611;2.406264
MF0373;48.8400381;2.3512484
MF0262;48.84721829999999;2.3278747
MF0177;48.8519507;2.3141284
MF0356;48.8758186;2.2993065
411111;48.8806994;2.3132376
MF0411;48.87184675141242;2.330246797228742
MF0420;48.87718683734466;2.323515475583933
MF0452;48.8764762;2.3408471
MF0410;48.872169988206245;2.3303596449715243
MF0429;43.30154452246789;-0.39385008688202616
MF0430;43.3246821138864;-0.37881012427504107
MF0432;43.32252575125229;-0.3040098769760918
MF0431;43.31326520639593;-0.3535279894070979
MF0287;43.493531686269236;-1.52676648839347
MF0365;48.830685;1.9529807
MF0368;48.9287697;2.0408309
MF0458;48.06761644143026;-2.9440671035131905
MF0344;47.11338058626716;-2.0918868035112737
MF0285;47.9871655485907;-4.107736203454997
MF0284;48.018165;-4.084242
MF0293;48.1141409;-1.6097908
MF0294;48.09363522232814;-1.6913547469824122
MF0369;48.8876983;2.169491
MF0412;48.86360118011965;2.194549738332133
MF0422;47.2670850906162;-2.151663058756518
MF0092;48.8466293;2.213766
MF0059;48.8972147;2.090178
MF0101;47.59527029430549;7.558536143229707
MF0419;48.64932250608301;-1.9902099333132541
MF0389;48.62555734260481;-1.9934714992825626
MF0220;48.7968961;2.5049773
MF0406;47.2833029;-2.2154644
MF0212;48.9108666;2.3336401
MF0376;48.8728571;2.6873647
MF0398;48.6443908;2.3348301
MF0353;48.94248532492118;2.1625467524294364
MF0397;48.681081929448894;2.3429865542614685
MF0339;49.20537699428834;2.5857230119671706
MF0330;43.27213197939236;-0.18801723399651268
MF0052;48.5689333;7.7629574
MF0354;48.60333431603094;7.782438119916229
MF0098;48.5877744;7.757148300000001
MF0010;48.5851921;7.7412755
MF0089;48.5763312;7.732215800000001
MF0424;48.56976870367567;7.724989731314216
MF0443;48.66238835274006;7.720828540470814
MF0094;49.356434986191566;6.146064371178892
MF0264;43.154118948797866;6.038416861578555
MF0207;43.08805754839569;5.854633769253457
MF0408;43.368219264446594;1.4513479115989945
MF0288;43.67123938913144;1.3668081185904686
MF0378;43.655119432041325;1.4780007809314557
MF0457;48.294891357421875;4.07397985458374
MF0274;49.09274913291851;1.4847171542885471
MF0310;46.13693120000001;3.4234426
MF0309;46.13423969999999;3.4421121
MF0360;48.88375848515399;2.5110062831103335
MF0343;48.8464251;2.4204553
MF0224;48.84792059999999;2.4387355
MF0442;48.804253;2.175433
MF0350;48.7782326;2.396236500000001
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
